date,region,category,product,customer_id,revenue,order_id
1/5/2024,Western,Electronics,Wireless Earbuds,C001,12500,ORD1001
1/7/2024,Central,Home,Ceramic Dinner Set,C002,8400,ORD1002
1/9/2024,Southern,Lifestyle,Ayurvedic Soap Pack,C003,2100,ORD1003
1/12/2024,Western,Electronics,Bluetooth Speaker,C001,9800,ORD1004
1/15/2024,Northern,Home,Cotton Bedsheet,C004,5600,ORD1005
1/18/2024,Western,Lifestyle,Leather Wallet,C005,4200,ORD1006
1/22/2024,Central,Electronics,Power Bank 20000mAh,C002,6900,ORD1007
1/25/2024,Southern,Home,Coconut Shell Bowls,C006,3300,ORD1008
1/28/2024,Western,Electronics,Smart Watch,C007,18500,ORD1009
2/2/2024,Northern,Lifestyle,Handloom Scarf,C004,3800,ORD1010
2/5/2024,Western,Home,Ceylon Tea Set,C001,7400,ORD1011
2/8/2024,Central,Electronics,Wireless Earbuds,C008,11900,ORD1012
2/12/2024,Southern,Lifestyle,Ayurvedic Soap Pack,C003,2400,ORD1013
2/15/2024,Western,Electronics,Bluetooth Speaker,C005,10200,ORD1014
2/19/2024,Northern,Home,Cotton Bedsheet,C009,5900,ORD1015
2/22/2024,Western,Lifestyle,Leather Wallet,C001,4500,ORD1016
2/26/2024,Central,Electronics,Power Bank 20000mAh,C002,7100,ORD1017
3/1/2024,Southern,Home,Coconut Shell Bowls,C006,3500,ORD1018
3/5/2024,Western,Electronics,Smart Watch,C010,19200,ORD1019
3/9/2024,Northern,Lifestyle,Handloom Scarf,C004,4100,ORD1020
3/13/2024,Western,Home,Ceylon Tea Set,C011,7900,ORD1021
3/17/2024,Central,Electronics,Wireless Earbuds,C008,12300,ORD1022
3/21/2024,Southern,Lifestyle,Ayurvedic Soap Pack,C003,2600,ORD1023
3/25/2024,Western,Electronics,Bluetooth Speaker,C005,10800,ORD1024
3/29/2024,Northern,Home,Cotton Bedsheet,C009,6200,ORD1025
4/3/2024,Western,Lifestyle,Leather Wallet,C012,4800,ORD1026
4/7/2024,Central,Electronics,Power Bank 20000mAh,C002,7400,ORD1027
4/11/2024,Southern,Home,Coconut Shell Bowls,C006,3700,ORD1028
4/15/2024,Western,Electronics,Smart Watch,C010,20100,ORD1029
4/19/2024,Northern,Lifestyle,Handloom Scarf,C004,4400,ORD1030
4/23/2024,Western,Home,Ceylon Tea Set,C011,8300,ORD1031
4/27/2024,Central,Electronics,Wireless Earbuds,C013,12800,ORD1032
5/2/2024,Southern,Lifestyle,Ayurvedic Soap Pack,C014,2800,ORD1033
5/6/2024,Western,Electronics,Bluetooth Speaker,C005,11200,ORD1034
5/10/2024,Northern,Home,Cotton Bedsheet,C009,6500,ORD1035
5/14/2024,Western,Lifestyle,Leather Wallet,C012,5100,ORD1036
5/18/2024,Central,Electronics,Power Bank 20000mAh,C015,7700,ORD1037
5/22/2024,Southern,Home,Coconut Shell Bowls,C006,3900,ORD1038
5/26/2024,Western,Electronics,Smart Watch,C010,21000,ORD1039
5/30/2024,Northern,Lifestyle,Handloom Scarf,C016,4700,ORD1040
6/4/2024,Western,Home,Ceylon Tea Set,C011,8700,ORD1041
6/8/2024,Central,Electronics,Wireless Earbuds,C013,13200,ORD1042
6/12/2024,Southern,Lifestyle,Ayurvedic Soap Pack,C014,3000,ORD1043
6/16/2024,Western,Electronics,Bluetooth Speaker,C017,11700,ORD1044
6/20/2024,Northern,Home,Cotton Bedsheet,C009,6800,ORD1045
6/24/2024,Western,Lifestyle,Leather Wallet,C012,5400,ORD1046
6/28/2024,Central,Electronics,Power Bank 20000mAh,C015,8000,ORD1047
7/3/2024,Southern,Home,Coconut Shell Bowls,C018,4100,ORD1048
7/7/2024,Western,Electronics,Smart Watch,C010,22000,ORD1049
7/11/2024,Northern,Lifestyle,Handloom Scarf,C016,5000,ORD1050
7/15/2024,Western,Home,Ceylon Tea Set,C011,9100,ORD1051
7/19/2024,Central,Electronics,Wireless Earbuds,C013,13700,ORD1052
