transaction_id,date,year,month,district,region,category,product,customer_id,units,revenue,orders
T2024010000001,2024-01-08,2024,1,Ampara,Eastern,Electronics,Wireless Router,C03007,4,123916.77,1
T2024010000002,2024-01-07,2024,1,Colombo,Western,Lifestyle,Fitness Band,C01768,4,38351.09,1
T2024010000003,2024-01-15,2024,1,Kalutara,Western,Office,Document Scanner,C02806,8,237176.43,1
T2024010000004,2024-01-09,2024,1,Puttalam,North Western,Electronics,Power Hub,C03788,4,157281.31,1
T2024010000005,2024-01-20,2024,1,Gampaha,Western,Home,Coffee Maker,C03818,5,82325.33,1
T2024010000006,2024-01-18,2024,1,Kilinochchi,Northern,Accessories,Mouse Pad,C01646,5,21150.19,1
T2024010000007,2024-01-25,2024,1,Vavuniya,Northern,Office,Laser Printer,C02867,5,123640.43,1
T2024010000008,2024-01-06,2024,1,Badulla,Uva,Home,Storage Set,C03989,6,101865.68,1
T2024010000009,2024-01-18,2024,1,Kurunegala,North Western,Office,Laser Printer,C02402,10,244516.56,1
T2024010000010,2024-01-27,2024,1,Kandy,Central,Accessories,Phone Stand,C03657,10,38316.87,1
T2024010000011,2024-01-30,2024,1,Anuradhapura,North Central,Home,Air Purifier,C02729,14,291017.03,1
T2024010000012,2024-01-09,2024,1,Kalutara,Western,Lifestyle,Desk Organizer,C02171,4,38368.4,1
T2024010000013,2024-01-08,2024,1,Kandy,Central,Lifestyle,Desk Organizer,C03966,17,147259.63,1
T2024010000014,2024-01-21,2024,1,Colombo,Western,Electronics,Smart Display,C02253,4,153939.97,1
T2024010000015,2024-01-18,2024,1,Colombo,Western,Home,Storage Set,C03060,12,206371.56,1
T2024010000016,2024-01-04,2024,1,Trincomalee,Eastern,Lifestyle,Water Bottle,C03787,5,45804.94,1
T2024010000017,2024-01-17,2024,1,Ratnapura,Sabaragamuwa,Outdoor,Foldable Chair,C02464,13,195448.7,1
T2024010000018,2024-01-12,2024,1,Polonnaruwa,North Central,Lifestyle,Travel Kit,C02253,10,91842.69,1
T2024010000019,2024-01-04,2024,1,Ratnapura,Sabaragamuwa,Office,Document Scanner,C01160,14,408299.91,1
